Binary LJ intro data file

864 atoms

2 atom types

0.0 10.25985568 xlo xhi
0.0 10.25985568 ylo yhi
0.0 10.25985568 zlo zhi

Masses

1 1.0
2 1.0

Atoms # atomic

141 2 0.00000000 8.54987973 8.54987973
142 2 0.85498797 9.40486771 8.54987973
143 1 0.85498797 8.54987973 9.40486771
144 1 0.00000000 9.40486771 9.40486771
145 2 1.70997595 0.00000000 0.00000000
146 2 2.56496392 0.85498797 0.00000000
147 1 2.56496392 0.00000000 0.85498797
148 2 1.70997595 0.85498797 0.85498797
149 2 1.70997595 0.00000000 1.70997595
150 1 2.56496392 0.85498797 1.70997595
151 1 2.56496392 0.00000000 2.56496392
152 1 1.70997595 0.85498797 2.56496392
153 2 1.70997595 0.00000000 3.41995189
154 2 2.56496392 0.85498797 3.41995189
155 1 2.56496392 0.00000000 4.27493987
156 2 1.70997595 0.85498797 4.27493987
157 2 1.70997595 0.00000000 5.12992784
158 2 2.56496392 0.85498797 5.12992784
159 2 2.56496392 0.00000000 5.98491581
160 1 1.70997595 0.85498797 5.98491581
161 1 1.70997595 0.00000000 6.83990379
162 1 2.56496392 0.85498797 6.83990379
163 1 2.56496392 0.00000000 7.69489176
164 1 1.70997595 0.85498797 7.69489176
165 1 1.70997595 0.00000000 8.54987973
166 2 2.56496392 0.85498797 8.54987973
167 1 2.56496392 0.00000000 9.40486771
168 1 1.70997595 0.85498797 9.40486771
169 1 1.70997595 1.70997595 0.00000000
170 1 2.56496392 2.56496392 0.00000000
171 1 2.56496392 1.70997595 0.85498797
172 1 1.70997595 2.56496392 0.85498797
173 1 1.70997595 1.70997595 1.70997595
174 1 2.56496392 2.56496392 1.70997595
175 2 2.56496392 1.70997595 2.56496392
176 2 1.70997595 2.56496392 2.56496392
177 2 1.70997595 1.70997595 3.41995189
178 1 2.56496392 2.56496392 3.41995189
179 2 2.56496392 1.70997595 4.27493987
180 1 1.70997595 2.56496392 4.27493987
181 2 1.70997595 1.70997595 5.12992784
182 2 2.56496392 2.56496392 5.12992784
183 2 2.56496392 1.70997595 5.98491581
184 1 1.70997595 2.56496392 5.98491581
185 2 1.70997595 1.70997595 6.83990379
186 2 2.56496392 2.56496392 6.83990379
187 1 2.56496392 1.70997595 7.69489176
188 1 1.70997595 2.56496392 7.69489176
189 2 1.70997595 1.70997595 8.54987973
190 2 2.56496392 2.56496392 8.54987973
191 1 2.56496392 1.70997595 9.40486771
192 2 1.70997595 2.56496392 9.40486771
193 1 1.70997595 3.41995189 0.00000000
194 1 2.56496392 4.27493987 0.00000000
195 2 2.56496392 3.41995189 0.85498797
196 2 1.70997595 4.27493987 0.85498797
197 2 1.70997595 3.41995189 1.70997595
198 2 2.56496392 4.27493987 1.70997595
199 1 2.56496392 3.41995189 2.56496392
200 2 1.70997595 4.27493987 2.56496392
201 1 1.70997595 3.41995189 3.41995189
202 2 2.56496392 4.27493987 3.41995189
203 2 2.56496392 3.41995189 4.27493987
204 2 1.70997595 4.27493987 4.27493987
205 1 1.70997595 3.41995189 5.12992784
206 2 2.56496392 4.27493987 5.12992784
207 2 2.56496392 3.41995189 5.98491581
208 2 1.70997595 4.27493987 5.98491581
209 1 1.70997595 3.41995189 6.83990379
210 1 2.56496392 4.27493987 6.83990379
211 2 2.56496392 3.41995189 7.69489176
212 2 1.70997595 4.27493987 7.69489176
213 2 1.70997595 3.41995189 8.54987973
214 2 2.56496392 4.27493987 8.54987973
215 2 2.56496392 3.41995189 9.40486771
216 2 1.70997595 4.27493987 9.40486771
217 2 1.70997595 5.12992784 0.00000000
218 1 2.56496392 5.98491581 0.00000000
219 1 2.56496392 5.12992784 0.85498797
220 2 1.70997595 5.98491581 0.85498797
221 2 1.70997595 5.12992784 1.70997595
222 2 2.56496392 5.98491581 1.70997595
223 1 2.56496392 5.12992784 2.56496392
224 1 1.70997595 5.98491581 2.56496392
225 1 1.70997595 5.12992784 3.41995189
226 1 2.56496392 5.98491581 3.41995189
227 1 2.56496392 5.12992784 4.27493987
228 1 1.70997595 5.98491581 4.27493987
229 2 1.70997595 5.12992784 5.12992784
230 2 2.56496392 5.98491581 5.12992784
231 2 2.56496392 5.12992784 5.98491581
232 1 1.70997595 5.98491581 5.98491581
233 1 1.70997595 5.12992784 6.83990379
234 2 2.56496392 5.98491581 6.83990379
235 1 2.56496392 5.12992784 7.69489176
236 1 1.70997595 5.98491581 7.69489176
237 2 1.70997595 5.12992784 8.54987973
238 2 2.56496392 5.98491581 8.54987973
239 1 2.56496392 5.12992784 9.40486771
240 1 1.70997595 5.98491581 9.40486771
241 1 1.70997595 6.83990379 0.00000000
242 1 2.56496392 7.69489176 0.00000000
243 1 2.56496392 6.83990379 0.85498797
244 1 1.70997595 7.69489176 0.85498797
245 1 1.70997595 6.83990379 1.70997595
246 2 2.56496392 7.69489176 1.70997595
247 2 2.56496392 6.83990379 2.56496392
248 1 1.70997595 7.69489176 2.56496392
249 2 1.70997595 6.83990379 3.41995189
250 1 2.56496392 7.69489176 3.41995189
