Nall = 8000                
rho = 0.04459
type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
11.95000            8.99866             0.00000             0.00000             8.99866             
12.05000            0.00000             0.00000             0.00000             0.00000             
12.15000            0.00000             0.00000             0.00000             0.00000             
12.25000            0.00000             5.70887             5.70887             0.00000             
12.35000            0.00000             0.00000             0.00000             0.00000             
12.45000            0.00000             0.00000             0.00000             0.00000             
12.55000            0.00000             0.00000             0.00000             0.00000             
12.65000            5.35355             0.00000             0.00000             5.35355             
12.75000            0.00000             0.00000             0.00000             0.00000             
12.85000            0.00000             0.00000             0.00000             0.00000             
12.95000            0.00000             10.21676            10.21676            0.00000             
13.05000            0.00000             0.00000             0.00000             0.00000             
13.15000            0.00000             0.00000             0.00000             0.00000             
13.25000            4.87968             0.00000             0.00000             4.87968             
13.35000            0.00000             0.00000             0.00000             0.00000             
13.45000            0.00000             0.00000             0.00000             0.00000             
13.55000            0.00000             0.00000             0.00000             0.00000             
13.65000            0.00000             0.00000             0.00000             0.00000             
13.75000            0.00000             0.00000             0.00000             0.00000             
13.85000            4.46605             0.00000             0.00000             4.46605             
13.95000            0.00000             0.00000             0.00000             0.00000             
14.05000            0.00000             0.00000             0.00000             0.00000             
14.15000            0.00000             5.34835             5.34835             0.00000             
14.25000            0.00000             0.00000             0.00000             0.00000             
14.35000            12.48075            0.00000             0.00000             12.48075            
14.45000            0.00000             0.00000             0.00000             0.00000             
14.55000            0.00000             0.00000             0.00000             0.00000             
14.65000            0.00000             5.32214             5.32214             0.00000             
14.75000            0.00000             0.00000             0.00000             0.00000             
14.85000            0.00000             0.00000             0.00000             0.00000             
14.95000            0.00000             0.00000             0.00000             0.00000             
15.05000            0.00000             0.00000             0.00000             0.00000             
15.15000            0.00000             11.19745            11.19745            0.00000             
15.25000            0.00000             0.00000             0.00000             0.00000             
15.35000            0.00000             0.00000             0.00000             0.00000             
15.45000            7.17788             0.00000             0.00000             7.17788             
15.55000            0.00000             0.00000             0.00000             0.00000             
15.65000            0.00000             0.00000             0.00000             0.00000             
15.75000            0.00000             0.00000             0.00000             0.00000             
15.85000            0.00000             0.00000             0.00000             0.00000             
15.95000            1.68373             0.00000             0.00000             1.68373             
16.05000            0.00000             0.00000             0.00000             0.00000             
16.15000            0.00000             0.00000             0.00000             0.00000             
16.25000            0.00000             6.48854             6.48854             0.00000             
16.35000            0.00000             0.00000             0.00000             0.00000             
16.45000            6.33172             0.00000             0.00000             6.33172             
16.55000            0.00000             0.00000             0.00000             0.00000             
16.65000            0.00000             6.18052             6.18052             0.00000             
16.75000            0.00000             0.00000             0.00000             0.00000             
16.85000            0.00000             0.00000             0.00000             0.00000             
16.95000            3.72730             0.00000             0.00000             3.72730             
