bin                 q                   two_theta           Fx                  Icoh               
125                 1.255000            17.701291           -2.164136           -174.361465        
126                 1.265000            17.843484           -1.967679           -143.252139        
127                 1.275000            17.985704           -1.740975           -107.629232        
128                 1.285000            18.127952           -1.497858           -69.676534         
129                 1.295000            18.270228           -1.252885           -31.664012         
130                 1.305000            18.412533           -1.020495           4.183809           
131                 1.315000            18.554867           -0.814180           35.814513          
132                 1.325000            18.697229           -0.645723           61.462381          
133                 1.335000            18.839621           -0.524537           79.744626          
134                 1.345000            18.982042           -0.457156           89.734121          
135                 1.355000            19.124492           -0.446885           91.004942          
136                 1.365000            19.266972           -0.493644           83.648616          
137                 1.375000            19.409483           -0.594007           68.260673          
138                 1.385000            19.552023           -0.741428           45.898792          
139                 1.395000            19.694595           -0.926640           18.015363          
140                 1.405000            19.837197           -1.138213           -13.631279         
141                 1.415000            19.979830           -1.363223           -47.081635         
142                 1.425000            20.122494           -1.587998           -80.289669         
143                 1.435000            20.265190           -1.798909           -111.240735        
144                 1.445000            20.407917           -1.983147           -138.066157        
145                 1.455000            20.550677           -2.129449           -159.148116        
146                 1.465000            20.693469           -2.228737           -173.209190        
147                 1.475000            20.836293           -2.274624           -179.381789        
148                 1.485000            20.979151           -2.263773           -177.253958        
149                 1.495000            21.122041           -2.196085           -166.889357        
150                 1.505000            21.264964           -2.074705           -148.820684        
151                 1.515000            21.407921           -1.905845           -124.017279        
152                 1.525000            21.550911           -1.698445           -93.829013         
153                 1.535000            21.693936           -1.463684           -59.909843         
154                 1.545000            21.836994           -1.214365           -24.125428         
155                 1.555000            21.980088           -0.964218           11.550007          
156                 1.565000            22.123215           -0.727153           45.141880          
157                 1.575000            22.266378           -0.516499           74.782702          
158                 1.585000            22.409576           -0.344281           98.813056          
159                 1.595000            22.552810           -0.220562           115.870859         
160                 1.605000            22.696079           -0.152893           124.964330         
161                 1.615000            22.839384           -0.145884           125.525079         
162                 1.625000            22.982726           -0.200947           117.438769         
163                 1.635000            23.126103           -0.316183           101.052052         
164                 1.645000            23.269518           -0.486460           77.155706          
165                 1.655000            23.412969           -0.703639           46.945131          
