# Time-averaged data for fix FRDF
# TimeStep Number-of-rows
# Row c_CRDF[1] c_CRDF[2] c_CRDF[3]
10000 200
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0 0
70 0.86875 0 0
71 0.88125 0.00100114 9.76563e-05
72 0.89375 0 9.76563e-05
73 0.90625 0.00852004 0.000976562
74 0.91875 0.0340802 0.00458984
75 0.93125 0.0905492 0.0144531
76 0.94375 0.187681 0.0354492
77 0.95625 0.340105 0.0745117
78 0.96875 0.653657 0.151562
79 0.98125 0.976255 0.269629
80 0.99375 1.28094 0.428516
81 1.00625 1.68546 0.642871
82 1.01875 2.02642 0.907031
83 1.03125 2.3095 1.21553
84 1.04375 2.47933 1.55479
85 1.05625 2.5548 1.91279
86 1.06875 2.64037 2.2916
87 1.08125 2.58367 2.671
88 1.09375 2.59319 3.06064
89 1.10625 2.56923 3.45557
90 1.11875 2.42454 3.83672
91 1.13125 2.34331 4.21338
92 1.14375 2.26919 4.58623
93 1.15625 2.13025 4.94395
94 1.16875 1.99955 5.28701
95 1.18125 1.86106 5.61318
96 1.19375 1.76937 5.92988
97 1.20625 1.66877 6.23486
98 1.21875 1.56771 6.52734
99 1.23125 1.47911 6.80898
100 1.24375 1.41184 7.0833
101 1.25625 1.30358 7.3417
102 1.26875 1.27125 7.59873
103 1.28125 1.14806 7.83545
104 1.29375 1.09672 8.06602
105 1.30625 1.00429 8.28125
106 1.31875 1.0135 8.50264
107 1.33125 0.939283 8.71172
108 1.34375 0.934377 8.92363
109 1.35625 0.877077 9.12627
110 1.36875 0.871506 9.33135
111 1.38125 0.825647 9.5292
112 1.39375 0.790891 9.72217
113 1.40625 0.831936 9.92881
114 1.41875 0.760946 10.1212
115 1.43125 0.751129 10.3145
116 1.44375 0.722512 10.5036
117 1.45625 0.741325 10.7011
118 1.46875 0.688755 10.8877
119 1.48125 0.689227 11.0776
120 1.49375 0.690285 11.2711
121 1.50625 0.667567 11.4613
122 1.51875 0.658646 11.6521
123 1.53125 0.670485 11.8496
124 1.54375 0.67794 12.0525
125 1.55625 0.652005 12.2509
126 1.56875 0.658085 12.4543
127 1.58125 0.687835 12.6703
128 1.59375 0.66515 12.8825
129 1.60625 0.690397 13.1062
130 1.61875 0.672358 13.3275
131 1.63125 0.655373 13.5466
132 1.64375 0.67796 13.7767
133 1.65625 0.712264 14.0221
134 1.66875 0.714197 14.2719
135 1.68125 0.713519 14.5252
136 1.69375 0.725792 14.7867
137 1.70625 0.770746 15.0686
138 1.71875 0.755102 15.3487
139 1.73125 0.774328 15.6402
140 1.74375 0.798809 15.9453
141 1.75625 0.844952 16.2727
142 1.76875 0.859146 16.6103
143 1.78125 0.851051 16.9494
144 1.79375 0.863395 17.2983
145 1.80625 0.901294 17.6677
146 1.81875 0.927025 18.0528
147 1.83125 0.947335 18.4519
148 1.84375 0.956033 18.8601
149 1.85625 0.976145 19.2825
150 1.86875 1.0081 19.7247
151 1.88125 1.02001 20.1781
152 1.89375 1.05884 20.6551
153 1.90625 1.08095 21.1484
154 1.91875 1.07198 21.6441
155 1.93125 1.10776 22.1631
156 1.94375 1.14933 22.7085
157 1.95625 1.14606 23.2594
158 1.96875 1.15884 23.8235
159 1.98125 1.15595 24.3935
160 1.99375 1.17905 24.9821
161 2.00625 1.19338 25.5854
162 2.01875 1.20345 26.2015
163 2.03125 1.20583 26.8264
164 2.04375 1.21681 27.4647
165 2.05625 1.20685 28.1057
166 2.06875 1.21792 28.7604
167 2.08125 1.23654 29.4331
168 2.09375 1.22874 30.1097
169 2.10625 1.20771 30.7826
170 2.11875 1.24131 31.4825
171 2.13125 1.18725 32.1599
172 2.14375 1.17547 32.8384
173 2.15625 1.17844 33.5266
