# Time-averaged data for fix FMSD
# TimeStep c_CMSD[1] c_CMSD[2] c_CMSD[3] c_CMSD[4]
11900 8.05914 8.23071 8.06505 24.3549
12000 8.13841 8.26956 8.17033 24.5783
12100 8.25277 8.37519 8.24745 24.8754
12200 8.33816 8.43653 8.29858 25.0733
12300 8.4203 8.56458 8.47835 25.4632
12400 8.48372 8.68678 8.59513 25.7656
12500 8.57242 8.81422 8.73633 26.123
12600 8.67921 8.92811 8.79623 26.4036
12700 8.68337 8.96589 8.89607 26.5453
12800 8.6978 9.09302 9.02761 26.8184
12900 8.72773 9.16532 9.14362 27.0367
13000 8.73597 9.22793 9.20987 27.1738
13100 8.77481 9.23735 9.23351 27.2457
13200 8.85404 9.29073 9.3375 27.4823
13300 8.91799 9.34376 9.46943 27.7312
13400 8.97243 9.39011 9.51213 27.8747
13500 9.06705 9.44005 9.59376 28.1009
13600 9.08398 9.49692 9.59623 28.1771
13700 9.13929 9.58955 9.67054 28.3994
13800 9.17469 9.58852 9.73519 28.4984
13900 9.22332 9.6703 9.81084 28.7045
14000 9.3059 9.73579 9.82152 28.8632
14100 9.32099 9.88527 9.87101 29.0773
14200 9.36601 9.96741 9.88709 29.2205
14300 9.36095 10.0637 9.90975 29.3344
14400 9.51377 10.1168 9.94188 29.5725
14500 9.56665 10.1756 9.95224 29.6945
14600 9.59892 10.2218 10.032 29.8527
14700 9.64837 10.2865 10.1363 30.0711
14800 9.68498 10.4069 10.1951 30.2869
14900 9.73164 10.4891 10.2378 30.4586
15000 9.73972 10.5167 10.3307 30.5871
15100 9.79455 10.5903 10.3997 30.7845
15200 9.87869 10.6259 10.4599 30.9644
15300 9.93566 10.6767 10.5567 31.169
15400 9.93624 10.7211 10.6226 31.2799
15500 9.96446 10.8454 10.671 31.4808
15600 9.99986 10.9911 10.7825 31.7735
15700 10.0321 11.0529 10.8972 31.9822
15800 10.0139 11.1489 10.9353 32.0981
15900 10.0729 11.2635 11.0183 32.3547
16000 10.0993 11.3447 11.0609 32.5049
16100 10.2188 11.4493 11.1767 32.8448
16200 10.2572 11.5962 11.2245 33.0778
16300 10.3357 11.6618 11.3101 33.3076
16400 10.4288 11.7277 11.365 33.5215
16500 10.4815 11.8381 11.4069 33.7265
16600 10.5527 11.9532 11.4603 33.9662
16700 10.6221 12.1316 11.556 34.3098
16800 10.7112 12.1905 11.6559 34.5577
16900 10.7455 12.2623 11.6602 34.668
17000 10.8086 12.3544 11.7452 34.9083
17100 10.9083 12.467 11.8129 35.1882
17200 11.0009 12.5908 11.8078 35.3996
17300 10.9971 12.6278 11.8148 35.4397
17400 11.1057 12.6908 11.8276 35.6241
17500 11.0992 12.8352 11.8941 35.8286
17600 11.2157 12.9815 11.9375 36.1346
17700 11.2128 13.0628 12.0436 36.3192
17800 11.3669 13.1513 12.1036 36.6218
17900 11.4008 13.2754 12.1597 36.8359
18000 11.5045 13.4013 12.2177 37.1235
18100 11.5765 13.498 12.3013 37.3758
18200 11.6642 13.5767 12.3678 37.6088
18300 11.7543 13.6653 12.4475 37.8671
18400 11.8763 13.6274 12.5598 38.0635
18500 11.936 13.6478 12.585 38.1688
18600 12.0063 13.7455 12.5841 38.3359
18700 12.0781 13.8366 12.654 38.5687
18800 12.2023 13.8827 12.7728 38.8578
18900 12.3022 13.9445 12.8489 39.0956
19000 12.345 14.0059 12.9115 39.2625
19100 12.4494 14.0568 13.0102 39.5164
19200 12.5024 14.0689 13.0593 39.6306
19300 12.5724 14.091 13.1305 39.7939
19400 12.5885 14.1525 13.1872 39.9282
19500 12.6781 14.2277 13.2105 40.1164
19600 12.6982 14.3696 13.2875 40.3553
19700 12.7374 14.3961 13.3176 40.4511
19800 12.891 14.388 13.3191 40.598
19900 12.9263 14.4009 13.4265 40.7537
20000 12.9324 14.4968 13.4972 40.9264
20100 13.0597 14.51 13.639 41.2088
20200 13.1694 14.5579 13.7326 41.4598
20300 13.186 14.6412 13.7831 41.6103
20400 13.2103 14.7135 13.9174 41.8412
20500 13.2541 14.7833 14.0223 42.0597
20600 13.2716 14.7872 14.0947 42.1535
20700 13.3053 14.8751 14.1943 42.3747
20800 13.3827 14.9826 14.3729 42.7382
20900 13.4821 15.0896 14.4452 43.0169
21000 13.6027 15.1871 14.5267 43.3165
21100 13.6004 15.3322 14.625 43.5576
21200 13.6973 15.4511 14.7837 43.9321
21300 13.7569 15.5194 14.8916 44.1679
21400 13.8374 15.6562 15.0138 44.5074
21500 13.8692 15.6428 15.046 44.558
21600 13.9452 15.8077 15.0891 44.8419
21700 14.0014 15.9667 15.0497 45.0178
21800 14.0389 16.0643 15.1289 45.2321
21900 14.0592 16.0825 15.1605 45.3023
22000 14.1581 16.1463 15.1783 45.4827
22100 14.2339 16.2091 15.2857 45.7287
22200 14.3012 16.231 15.3089 45.8411
22300 14.4592 16.2718 15.3671 46.0981
22400 14.5612 16.2666 15.4371 46.265
22500 14.5965 16.3218 15.532 46.4504
22600 14.6666 16.4389 15.5914 46.697
22700 14.7455 16.4409 15.6787 46.8651
22800 14.9254 16.5593 15.7175 47.2022
22900 15.0926 16.6577 15.7943 47.5445
23000 15.1233 16.7168 15.9118 47.7519
23100 15.244 16.8075 15.944 47.9955
23200 15.3273 16.8044 15.9717 48.1034
23300 15.3908 16.7689 15.9746 48.1342
23400 15.4888 16.7581 16.0392 48.2861
23500 15.5704 16.8366 16.1025 48.5095
23600 15.6875 16.8515 16.1002 48.6392
23700 15.8001 16.8949 16.2331 48.9282
23800 15.8211 16.9907 16.3693 49.1811
23900 15.9096 17.0237 16.3842 49.3175
24000 15.9662 17.1132 16.4541 49.5335
24100 16.0542 17.1726 16.4698 49.6966
24200 16.1953 17.1792 16.5666 49.9411
24300 16.3064 17.2498 16.6383 50.1945
24400 16.3385 17.2652 16.786 50.3897
24500 16.3741 17.3572 16.7453 50.4765
24600 16.4509 17.4358 16.8273 50.714
24700 16.5443 17.5823 16.843 50.9696
24800 16.6287 17.6343 16.8777 51.1408
