time                 x                    y                    z                    total               
107.000000           5.383849             5.658519             5.019939             16.062307           
108.000000           5.433808             5.714307             5.064898             16.213013           
109.000000           5.483519             5.770349             5.109655             16.363524           
110.000000           5.532835             5.825925             5.154987             16.513747           
111.000000           5.582244             5.881233             5.200339             16.663816           
112.000000           5.631617             5.936897             5.245193             16.813706           
113.000000           5.680894             5.992769             5.290099             16.963763           
114.000000           5.730085             6.048653             5.335160             17.113899           
115.000000           5.779771             6.104572             5.379687             17.264030           
116.000000           5.829681             6.159743             5.423438             17.412862           
117.000000           5.879345             6.215013             5.466904             17.561262           
118.000000           5.929629             6.270507             5.510799             17.710935           
119.000000           5.979785             6.327297             5.554257             17.861339           
120.000000           6.030194             6.383942             5.597905             18.012042           
121.000000           6.080245             6.440739             5.641957             18.162941           
122.000000           6.130323             6.497568             5.685901             18.313792           
123.000000           6.180441             6.554632             5.730039             18.465112           
124.000000           6.231022             6.611566             5.773971             18.616559           
125.000000           6.282000             6.668005             5.817743             18.767747           
126.000000           6.333282             6.723961             5.861736             18.918979           
127.000000           6.384856             6.779395             5.905534             19.069786           
128.000000           6.436426             6.834727             5.949370             19.220523           
129.000000           6.488454             6.889495             5.993553             19.371502           
130.000000           6.540672             6.944076             6.037587             19.522335           
131.000000           6.592896             6.998521             6.081333             19.672750           
132.000000           6.644891             7.052816             6.125138             19.822844           
133.000000           6.696845             7.107101             6.168690             19.972636           
134.000000           6.748888             7.161486             6.212094             20.122468           
135.000000           6.800563             7.215381             6.255875             20.271819           
136.000000           6.851721             7.269112             6.299687             20.420520           
137.000000           6.903532             7.322741             6.343185             20.569458           
138.000000           6.955142             7.376359             6.386911             20.718412           
139.000000           7.007531             7.429853             6.430527             20.867911           
140.000000           7.060341             7.483615             6.474779             21.018734           
141.000000           7.113087             7.537258             6.519101             21.169446           
142.000000           7.165598             7.591271             6.563436             21.320305           
143.000000           7.217790             7.645036             6.607725             21.470551           
144.000000           7.270233             7.698434             6.652129             21.620795           
145.000000           7.323051             7.751662             6.697093             21.771806           
146.000000           7.375351             7.805483             6.741968             21.922802           
147.000000           7.427726             7.859161             6.787401             22.074288           
148.000000           7.480185             7.912442             6.833294             22.225921           
149.000000           7.532545             7.965933             6.879266             22.377743           
150.000000           7.584386             8.019173             6.925074             22.528634           
151.000000           7.635768             8.072499             6.970484             22.678752           
152.000000           7.687381             8.125945             7.016244             22.829570           
153.000000           7.739155             8.178961             7.062550             22.980666           
154.000000           7.790965             8.232203             7.109206             23.132374           
155.000000           7.842498             8.285446             7.155774             23.283717           
156.000000           7.893953             8.338507             7.201824             23.434284           
157.000000           7.945667             8.391218             7.248355             23.585239           
158.000000           7.997256             8.443919             7.295196             23.736371           
159.000000           8.048507             8.496443             7.342191             23.887140           
160.000000           8.099956             8.549733             7.389235             24.038923           
161.000000           8.151540             8.602897             7.436374             24.190810           
162.000000           8.203486             8.655952             7.483815             24.343253           
163.000000           8.255439             8.709009             7.531252             24.495700           
164.000000           8.307234             8.761632             7.579391             24.648258           
165.000000           8.359566             8.814653             7.628249             24.802468           
166.000000           8.411928             8.868049             7.676806             24.956784           
167.000000           8.464818             8.921332             7.725498             25.111648           
168.000000           8.517241             8.974599             7.774383             25.266222           
169.000000           8.569085             9.027229             7.823632             25.419945           
170.000000           8.621107             9.079826             7.872507             25.573440           
171.000000           8.672176             9.132427             7.920964             25.725567           
172.000000           8.723156             9.185434             7.968952             25.877542           
173.000000           8.774363             9.239197             8.016922             26.030483           
174.000000           8.825224             9.293269             8.065029             26.183522           
175.000000           8.876112             9.347470             8.112827             26.336409           
176.000000           8.927302             9.400803             8.160790             26.488895           
177.000000           8.978607             9.454880             8.208986             26.642473           
178.000000           9.030306             9.509129             8.257179             26.796614           
179.000000           9.081592             9.563865             8.305509             26.950967           
180.000000           9.132710             9.618681             8.353550             27.104941           
181.000000           9.183766             9.673107             8.401359             27.258231           
182.000000           9.234178             9.727475             8.449258             27.410911           
183.000000           9.284617             9.781915             8.497622             27.564154           
184.000000           9.335438             9.836366             8.545804             27.717608           
185.000000           9.386279             9.890651             8.594627             27.871557           
186.000000           9.437071             9.944817             8.643725             28.025614           
187.000000           9.488188             9.999209             8.693162             28.180559           
188.000000           9.539841             10.053392            8.742449             28.335682           
189.000000           9.592068             10.107806            8.791610             28.491483           
190.000000           9.644575             10.162252            8.841328             28.648154           
191.000000           9.697580             10.216220            8.891108             28.804908           
192.000000           9.750596             10.269920            8.941626             28.962141           
193.000000           9.803711             10.323850            8.992284             29.119845           
194.000000           9.856785             10.377405            9.043328             29.277518           
195.000000           9.910255             10.431840            9.094977             29.437072           
196.000000           9.964548             10.487015            9.146298             29.597860           
197.000000           10.018087            10.542841            9.198073             29.759001           
198.000000           10.072024            10.598841            9.249694             29.920560           
199.000000           10.126551            10.655052            9.300514             30.082117           
200.000000           10.181187            10.711464            9.351227             30.243878           
201.000000           10.236049            10.767784            9.401910             30.405743           
202.000000           10.290740            10.824092            9.452439             30.567271           
203.000000           10.345386            10.880328            9.503172             30.728885           
204.000000           10.399183            10.937279            9.553156             30.889618           
205.000000           10.453239            10.994533            9.602747             31.050519           
206.000000           10.507145            11.051147            9.652469             31.210760           
