# time  <Rg>_chains  <Rg^2>_chains
2.060000000000000000e+02 1.104146862127055595e+00 1.304219149441077974e+00
2.080000000000000000e+02 1.093247643180541573e+00 1.280255145398138339e+00
2.100000000000000000e+02 1.096152856883517490e+00 1.281762737298903332e+00
2.120000000000000000e+02 1.117366293399649768e+00 1.332680364697035102e+00
2.140000000000000000e+02 1.091611205316254107e+00 1.284878182793937285e+00
2.160000000000000000e+02 1.100568047683272210e+00 1.307706841652022334e+00
2.180000000000000000e+02 1.108985677077690024e+00 1.316053509943536426e+00
2.200000000000000000e+02 1.129523351705718159e+00 1.361921617047642030e+00
2.220000000000000000e+02 1.127357825629174748e+00 1.344317333239104073e+00
2.240000000000000000e+02 1.092978169394152932e+00 1.262793321504508626e+00
2.260000000000000000e+02 1.108221232387691657e+00 1.300603545686250584e+00
2.280000000000000000e+02 1.104851548372706826e+00 1.290779027938379286e+00
2.300000000000000000e+02 1.093562689006996713e+00 1.272676275074918095e+00
2.320000000000000000e+02 1.097019052850521703e+00 1.275154172924162665e+00
2.340000000000000000e+02 1.105688330246673567e+00 1.307764079282394576e+00
2.360000000000000000e+02 1.127952880006708458e+00 1.359478850978524278e+00
2.380000000000000000e+02 1.140885296506125801e+00 1.397836187937304686e+00
2.400000000000000000e+02 1.121755220761289751e+00 1.357199191472712840e+00
2.420000000000000000e+02 1.093583246391186758e+00 1.295941051240456332e+00
2.440000000000000000e+02 1.111840425141923827e+00 1.330971152086702247e+00
2.460000000000000000e+02 1.108816671562028455e+00 1.333415331087305589e+00
2.480000000000000000e+02 1.076838848433915530e+00 1.255230496769744519e+00
2.500000000000000000e+02 1.098793129636035815e+00 1.298167267097309008e+00
2.520000000000000000e+02 1.085480246651481684e+00 1.257565779730551725e+00
2.540000000000000000e+02 1.069394856614626743e+00 1.217213794101519753e+00
2.560000000000000000e+02 1.098820492479583022e+00 1.284562958824203349e+00
2.580000000000000000e+02 1.106601078875881994e+00 1.323234519341065507e+00
2.600000000000000000e+02 1.122486481686005622e+00 1.373964571778472532e+00
2.620000000000000000e+02 1.111352185060790365e+00 1.352944544444978803e+00
2.640000000000000000e+02 1.112019963800324085e+00 1.345918973922604067e+00
2.660000000000000000e+02 1.103025321356757349e+00 1.326265614079403576e+00
2.680000000000000000e+02 1.105555173809473768e+00 1.315299132294665441e+00
2.700000000000000000e+02 1.105495701904115613e+00 1.314282508792027571e+00
2.720000000000000000e+02 1.099481446763640458e+00 1.312959510664974516e+00
2.740000000000000000e+02 1.092075563794374204e+00 1.300084742748353506e+00
2.760000000000000000e+02 1.099100986770956023e+00 1.300732627081464088e+00
2.780000000000000000e+02 1.098015466755674296e+00 1.283926163930471986e+00
2.800000000000000000e+02 1.083411886809983571e+00 1.251336246272234831e+00
2.820000000000000000e+02 1.057074593609479418e+00 1.185324356054087147e+00
2.840000000000000000e+02 1.071351984105986199e+00 1.220085103655765835e+00
2.860000000000000000e+02 1.088819092350925777e+00 1.254806853467318462e+00
2.880000000000000000e+02 1.083804948351936748e+00 1.258713240391136523e+00
2.900000000000000000e+02 1.073833404162006122e+00 1.231896580072682212e+00
2.920000000000000000e+02 1.081303077127891754e+00 1.252824428942695079e+00
2.940000000000000000e+02 1.092333294614725947e+00 1.276428163465942234e+00
2.960000000000000000e+02 1.090912184276852992e+00 1.273093747217043159e+00
2.980000000000000000e+02 1.115223310984967631e+00 1.313286361848989614e+00
3.000000000000000000e+02 1.096103908125706461e+00 1.259259678175949304e+00
3.020000000000000000e+02 1.069144080678122943e+00 1.205226154542868855e+00
